Distance;Altitude;Easting;Northing;Longitude;Latitude
55;467;2676746.34;1288933.27;8.461958;47.746475
55.3;467;2676746.39;1288932.96;8.461959;47.746472
55.6;467;2676746.44;1288932.66;8.46196;47.746469
55.9;467;2676746.5;1288932.35;8.46196;47.746467
56.3;467;2676746.55;1288932.05;8.461961;47.746464
56.6;466.7;2676746.6;1288931.74;8.461962;47.746461
56.9;466.7;2676746.65;1288931.43;8.461962;47.746458
57.2;466.7;2676746.7;1288931.13;8.461963;47.746456
57.5;466.7;2676746.75;1288930.82;8.461963;47.746453
57.8;466.7;2676746.8;1288930.52;8.461964;47.74645
58.1;466.7;2676746.85;1288930.21;8.461965;47.746447
58.4;466.5;2676746.9;1288929.9;8.461965;47.746444
58.7;466.5;2676746.95;1288929.6;8.461966;47.746442
59;466.5;2676747;1288929.29;8.461967;47.746439
59.4;466.5;2676747.05;1288928.99;8.461967;47.746436
59.7;466.5;2676747.11;1288928.68;8.461968;47.746433
60;466.5;2676747.16;1288928.37;8.461968;47.746431
60.3;466.5;2676747.21;1288928.07;8.461969;47.746428
60.6;465.3;2676747.26;1288927.76;8.46197;47.746425
60.9;465.3;2676747.31;1288927.46;8.46197;47.746422
61.2;465.3;2676747.36;1288927.15;8.461971;47.74642
61.5;465.3;2676747.41;1288926.84;8.461972;47.746417
61.8;465.3;2676747.46;1288926.54;8.461972;47.746414
62.1;465.3;2676747.51;1288926.23;8.461973;47.746411
